title_type,primary_title,genres,runtime_minutes,num_votes,average_rating
video,Faust Fucker - Dr. Fist und seine heißen Stuten,Adult,,9,9.0
tvMiniSeries,Faultline,Crime,,8,8.2
tvSeries,Little Sista,Comedy,,6,8.4
movie,Night of the Clown,Horror,60.0,43,2.3
tvSeries,Jade of Death,Fantasy,,23,7.0
tvSeries,Windy City Flip,Reality-TV,,18,6.7
movie,Home-Coming in Granddaughter: The Cultural Complex of a Headman's Concubine,Documentary,58.0,6,7.4
tvEpisode,Reba the Landlord,"Comedy,Drama",22.0,72,7.7
short,Barnyard WAAC,"Animation,Short",7.0,16,6.0
movie,Ab Kya Hoga,"Mystery,Thriller",,38,4.9
tvEpisode,Majka,"Crime,Drama,Mystery",50.0,202,8.7
tvEpisode,The Veronica Show,"Crime,Drama,Mystery",,33,8.4
tvEpisode,I Am a Wolf,"Crime,Drama,Mystery",,45,7.6
tvEpisode,A Broken Mirror,"Crime,Drama,Mystery",,21,8.1
tvEpisode,Chris Martin/Bryce Dallas Howard/The Weirdos,"Comedy,Music,Talk-Show",,12,5.3
tvEpisode,Conan at Home - Mayor Melvin Carter,"Comedy,Music,Talk-Show",,9,5.6
tvEpisode,Adam Sandler/Ben Falcone/Nimesh Patel,"Comedy,Music,Talk-Show",,13,6.6
videoGame,Deliver Us the Moon,"Action,Adventure,Sci-Fi",,266,7.4
short,Sallie Gardner at a Gallop,"Documentary,Short",1.0,3239,7.4
short,Leopard Walking,Short,,71,4.7
short,Woman Pouring from Jug,Short,1.0,162,5.2
short,Dickson Greeting,Short,1.0,1484,5.3
short,Cupid's Dance,Short,,56,4.7
short,Sioux Ghost Dance,"Short,Western",1.0,778,5.2
short,Mexican Knife Duel,"Action,Short,Western",,47,4.0
short,Muscle Dance,Short,,19,3.6
short,The Sausage Machine,Short,,30,4.9
short,Trilby Hypnotic Scene,"Drama,Short",,20,2.6
short,Partie de tric-trac,"Documentary,Short",1.0,323,5.0
short,"The Rixfords, No. 1","Documentary,Short",,29,3.3
short,"Street Scene in Winter in Montreal, Canada","Documentary,Short",,22,3.6
short,Krieger-Parade,"Documentary,Short",,20,3.4
short,"Suvier Entering the Baltic Canal, Hamburg","Documentary,Short",,22,3.6
short,Fishing for Goldfish,"Documentary,Short",1.0,1073,5.1
short,Discussion de Monsieur Janssen et de Monsieur Lagrange,"Documentary,Short",,58,5.7
short,"Fêtes franco-russes: Paris, les souverains russes et le Président de la République Félix Faure aux Champs-Elysées",Short,1.0,174,4.6
short,Charge of the French Cuirassieurs,Short,,13,4.2
short,Revue à Longchamp: défilé de la Garde Républicaine et des pompiers,Short,1.0,159,4.6
short,"Tom Merry, Lightning Cartoonist IV",Short,,18,3.4
short,Gardener Burning Weeds,Short,,35,4.5
short,Vernona Jarbeau,Short,,15,3.7
short,"Le fakir, mystère indien",Short,,37,4.3
short,Tub Race,Short,,20,3.3
short,Rope Dance,Short,,15,3.8
short,Trilby and Little Billee,Short,,27,4.5
short,Jeux d'enfants dans une rue,Short,1.0,135,5.0
short,Alger: prière du muezzin,Short,1.0,86,4.2
short,Bains sur le Rhône,Short,1.0,41,4.5
short,An Arrest,Short,,31,4.1
short,Bag Punching,Short,,15,3.7
short,Telephone Appointment,"Comedy,Short",,21,2.7
short,Interrupted Lover,"Comedy,Short",1.0,345,4.6
short,Lazamiento de un novillo,"Documentary,Short",,32,4.0
short,"Milan, place du Dôme","Documentary,Short",1.0,204,5.4
short,West Point Cadet Drill No. 2,"Documentary,Short",,15,3.8
short,Pompiers: mise en batterie,"Documentary,Short",1.0,51,5.2
short,Presidente de la republica subiendo a pie del castillo de Chapultepec,"Documentary,Short",,19,4.0
short,H.R.H. the Prince of Wales,"Documentary,Short",,18,3.7
short,Baggage Wagons of Li Hung Chang,"Documentary,Short",,19,4.7
short,Arrivée du Tzar à Paris,"Documentary,Short",,27,4.3
short,"Schaffouse, Chûtes du Rhin vues de loin","Documentary,Short",1.0,95,4.9
