title_type,primary_title,genres,runtime_minutes,num_votes,average_rating,start_year
movie,Hidden Agenda,Drama,65.0,8,9.6,
tvEpisode,There are Some People Who You Shouldn't Mess With,"Crime,Drama",,18,7.5,
tvSeries,The Wonderful World of Babies,Documentary,60.0,16,7.1,
movie,You Don't Know Nicotine,Documentary,,39,8.5,
movie,"The Great 14th: Tenzin Gyatso, the 14th Dalai Lama in His Own Words",Documentary,82.0,152,9.3,
movie,Luccas Neto em: Acampamento de Férias,"Comedy,Family",87.0,76,2.5,
movie,Prem Prakaran,"Drama,Romance",162.0,67,9.7,
tvEpisode,Tom Holland/Alana Haim/Stevie Nistor,"Comedy,Talk-Show",41.0,17,7.1,
tvEpisode,Antony Blinken/Twice,"Comedy,Talk-Show",,19,6.4,
movie,Shkembimi,"Action,Comedy,Crime",87.0,93,7.3,
tvEpisode,Beg for What You Need,"Crime,Drama,Mystery",,13,8.0,
short,Perhaps,"Drama,Romance,Short",35.0,7,9.6,
tvEpisode,Tracee Ellis Ross/Jabani Banks/Koffee,"Comedy,Music,Talk-Show",41.0,13,6.5,
tvEpisode,The First Day of School,"Action,Animation,Family",,24,9.1,
short,Buffalo Running,"Documentary,Short",1.0,1091,6.2,1883.0
short,Woman Opening Umbrella,Short,,148,5.3,1887.0
short,Le prince de Galles,"Documentary,Short",,196,4.8,1892.0
short,Horse Shoeing,"Documentary,Short",,238,3.8,1893.0
short,Highland Dance,Short,,58,4.4,1894.0
short,Bertoldi (Table Contortion),Short,,74,4.0,1894.0
short,Rats and Weasel,Short,,28,3.0,1894.0
short,The Hornbacker-Murphy Fight,"Short,Sport",1.0,348,5.0,1894.0
short,Athlete with Wand,"Short,Sport",1.0,596,4.5,1894.0
short,Crows on Saffron Hill,"Documentary,Short",,42,3.7,1894.0
short,Lasso Thrower,"Action,Short,Western",,51,4.7,1894.0
short,New Blacksmith Shop,Short,1.0,141,4.5,1895.0
short,Quartette,Short,,27,3.8,1895.0
short,"Annabelle Serpentine Dance, no. 2",Short,,7,5.6,1895.0
short,New Barber's Shop,Short,,27,4.4,1895.0
short,Trilby Death Scene,"Drama,Short",,23,3.5,1895.0
short,Italienischer Bauerntanz,"Documentary,Short",1.0,323,4.6,1895.0
short,Leaving the Factory,"Documentary,Short",1.0,7085,6.9,1895.0
short,Steamer 'New York' in Dock,"Documentary,Short",,22,3.3,1895.0
short,(7ème) Cuirassiers: défilé (par escadron),Short,1.0,25,4.1,1896.0
short,Revue à Longchamp: arrivée de M. le Président de la République Félix Faure,Short,1.0,163,4.6,1896.0
short,Vistas españolas,Short,,17,3.7,1896.0
short,The Old German Mill,Short,,17,4.1,1896.0
short,Marché indien sur le canal de la Viga [Mexique],Short,1.0,124,4.3,1896.0
short,The Interrupted Supper,Short,,15,3.0,1896.0
short,"New York, Broadway",Short,1.0,196,5.8,1896.0
short,Coronation of a Village Maiden,Short,,29,3.2,1896.0
short,La voiture du potier,Short,,36,6.0,1896.0
short,Bal Espagnol dans la rue (Mexique),Short,,42,4.8,1896.0
short,Contortionist,Short,,21,4.1,1896.0
short,Watermelon Contest,"Comedy,Short",1.0,296,3.9,1896.0
short,A Surrey Garden,"Comedy,Short",,23,4.3,1896.0
short,Rip Meeting the Dwarf,"Fantasy,Short",1.0,526,4.5,1896.0
short,Porto,"Documentary,Short",,16,4.0,1896.0
short,Bicyclist,"Documentary,Short",1.0,352,6.0,1896.0
short,Scaphandrier,"Documentary,Short",1.0,154,5.4,1896.0
short,"Rescue on the River, Pt. 1","Documentary,Short",,53,5.1,1896.0
short,Marée montante sur Brise-Larmes,"Documentary,Short",,31,4.2,1896.0
short,Défilé d'infanterie française,"Documentary,Short",,21,5.0,1896.0
short,Hyde Park Bicycling Scene,"Documentary,Short",1.0,168,5.1,1896.0
short,"Li Hung Chang, 5th Avenue & 55th Street, N.Y.","Documentary,Short",,25,4.2,1896.0
short,Voyage dans un train,"Documentary,Short",1.0,47,4.1,1896.0
short,X-Ray Cinematography of Frog's Legs,"Documentary,Short",,24,6.6,1896.0
short,Les repas des chats,"Documentary,Short",1.0,68,5.2,1896.0
short,Sidewalks of New York,"Documentary,Short",,25,4.4,1896.0
short,A Watermelon Feast,"Documentary,Short",,84,6.4,1896.0
short,Balançoires,"Documentary,Short",1.0,230,5.1,1896.0
short,Closing Hours at Vibert's Perfume Factory,"Documentary,Short",,32,4.8,1896.0
short,"Cologne, Panorama pris d'un bateau","Documentary,Short",1.0,93,5.4,1896.0
short,"Budapest, pont suspendu","Documentary,Short",1.0,121,5.0,1896.0
short,"Marseille, la Canebière","Documentary,Short",1.0,241,5.1,1896.0
short,Pompiers à Lyon,"Documentary,Short",1.0,466,5.5,1896.0
short,"Barcelone, panorama du port I","Documentary,Short",1.0,107,5.4,1896.0
short,"East Side Drive, No. 1","Documentary,Short",,31,4.0,1896.0
short,Sortie de fabrique,"Documentary,Short",1.0,26,4.7,1896.0
short,"Munich, Maximilianeum","Documentary,Short",1.0,68,4.8,1896.0
short,Chegada de um Comboio Americano a Cadoucos,"Documentary,Short",,18,3.7,1896.0
short,Park Police Drill Left Wheel and Forward,"Documentary,Short",,22,3.7,1896.0
short,The Messers. Lumière at Cards,"Documentary,Short",1.0,1529,5.6,1896.0
short,Feeding the Doves,"Documentary,Short",1.0,883,5.0,1896.0
short,Uninvited Guest,Short,,17,4.2,1897.0
short,"Boston, Commercial Street",Short,1.0,24,4.1,1897.0
short,Buffalo Bill: peaux rouges,Short,1.0,75,4.7,1897.0
short,Riña en un café,Short,1.0,130,4.6,1897.0
short,Making Soap Bubbles,Short,,18,3.0,1897.0
short,Ronde enfantine,Short,1.0,56,5.2,1897.0
short,"Ballet, 'Le carnaval de Venise' II",Short,1.0,71,4.7,1897.0
short,Fatima,Short,,80,5.0,1897.0
short,Entrée du cortège royal à l'Exposition,Short,1.0,66,4.3,1897.0
short,Facial Expressions by Loney Haskell,Short,,26,5.0,1897.0
short,The Jealous Monkey,Short,,26,4.2,1897.0
short,Hail Britannia!,Short,,12,3.6,1897.0
short,Danse d'hommes,Short,1.0,96,4.8,1897.0
short,Danse serpentine,Short,1.0,66,5.8,1897.0
short,Attaque d'un poste anglais,"Short,War",,26,3.5,1897.0
short,Le roi Léopold II à l'exposition de Tervuren,"News,Short",,12,3.8,1897.0
short,Death of Nancy Sykes,"Drama,Short",,33,3.2,1897.0
short,The Miser,"Drama,Short",,19,3.7,1897.0
short,The Lover in the Bag,"Comedy,Short",1.0,146,5.7,1897.0
short,Le cocher de fiacre endormi,"Comedy,Short",,27,4.8,1897.0
short,Douche après le bain,"Comedy,Short",1.0,349,5.2,1897.0
short,La défense du drapeau,"Drama,Short,War",1.0,94,4.9,1897.0
short,"Pile Driving, Washington Navy Yard","Documentary,Short",,19,3.8,1897.0
